id_pelanggan,gender,status_member,level_loyalitas,kota,kategori_produk,usia,lama_member_bln,jumlah_transaksi,total_klik,rata_rating,total_belanja
CUST0001,Perempuan,Non-Member,Silver,Makassar,Perabot Rumah,54.0,50.0,1.0,4.0,3.6,3285.25
CUST0002,Perempuan,Member,Silver,Bogor,Travel,45.0,25.0,97.0,405.0,4.2,35081.51
CUST0003,Perempuan,Non-Member,Gold,Tangerang,Kecantikan,31.0,67.0,12.0,49.0,4.3,8290.19
CUST0004,Laki-laki,Non-Member,Gold,Tangerang,Fashion,35.0,27.0,112.0,460.0,4.9,44176.96
CUST0005,Perempuan,Member,Silver,Bekasi,Mainan Anak,19.0,15.0,3.0,12.0,2.9,1642.53
CUST0006,Laki-laki,Member,Bronze,Medan,Travel,45.0,68.0,59.0,235.0,4.5,20788.18
CUST0007,Laki-laki,Member,Bronze,Makassar,Otomotif,25.0,,90.0,366.0,4.9,28679.95
CUST0008,Laki-laki,Non-Member,Bronze,Makassar,Otomotif,,66.0,7.0,28.0,3.9,5374.94
CUST0009,Perempuan,Non-Member,Silver,Surabaya,Makanan,18.0,63.0,89.0,366.0,3.6,29827.94
CUST0010,Laki-laki,Member,Silver,Yogyakarta,Perabot Rumah,43.0,16.0,110.0,457.0,,38763.61
CUST0011,Perempuan,Member,Bronze,Medan,Fashion,43.0,74.0,111.0,462.0,3.9,35795.65
CUST0012,Perempuan,Member,Gold,Malang,Gaming,41.0,22.0,111.0,457.0,2.7,49631.56
CUST0013,Laki-laki,Member,Platinum,Tangerang,Kecantikan,18.0,13.0,43.0,170.0,3.5,25375.24
CUST0014,Perempuan,Non-Member,Silver,Tangerang,Buku,46.0,21.0,29.0,116.0,4.3,10519.04
CUST0015,Perempuan,Member,Silver,Medan,Buku,35.0,63.0,85.0,353.0,4.4,32906.24
CUST0016,Perempuan,Non-Member,Gold,Jakarta,Otomotif,46.0,5.0,58.0,223.0,,22657.93
CUST0017,Perempuan,Member,Gold,Tangerang,Perabot Rumah,41.0,13.0,97.0,400.0,3.1,42651.16
CUST0018,Laki-laki,Member,Bronze,Tangerang,Perabot Rumah,,,35.0,141.0,3.8,11671.55
CUST0019,Perempuan,Member,Bronze,Bekasi,Kecantikan,21.0,37.0,24.0,96.0,3.1,9337.67
CUST0020,Perempuan,Member,Bronze,Jakarta,Buku,37.0,37.0,44.0,175.0,4.8,14745.5
CUST0021,Laki-laki,Member,Bronze,Yogyakarta,Kecantikan,30.0,80.0,8.0,32.0,3.7,6552.06
CUST0022,Perempuan,Non-Member,Silver,Surabaya,Otomotif,32.0,67.0,77.0,294.0,3.3,26703.28
CUST0023,Laki-laki,Member,Silver,Batam,Olahraga,55.0,,4.0,16.0,4.7,1591.48
